# Checkerboard Training Log
# Started: SystemTime { tv_sec: 1767956824, tv_nsec: 254311820 }
# Model: 3040 gates
# epoch,soft_loss,hard_loss,accuracy,best_accuracy,elapsed_s
0,202.080391,248.0000,0.515625,0.515625,3.6
1,215.977609,271.0000,0.527344,0.527344,6.8
2,198.648306,254.0000,0.507812,0.527344,10.1
3,189.168660,247.0000,0.531250,0.531250,13.5
4,193.214315,259.0000,0.500000,0.531250,16.8
5,184.319711,253.0000,0.511719,0.531250,20.1
6,182.114982,257.0000,0.460938,0.531250,23.3
7,175.285035,254.0000,0.484375,0.531250,26.8
8,163.961567,243.0000,0.535156,0.535156,32.6
9,155.090309,235.0000,0.488281,0.535156,40.0
10,166.985577,266.0000,0.511719,0.535156,47.6
11,158.635146,259.0000,0.542969,0.542969,54.8
12,156.313104,264.0000,0.496094,0.542969,62.2
13,145.865540,249.0000,0.496094,0.542969,67.9
14,149.675518,269.0000,0.464844,0.542969,71.5
15,140.961618,254.0000,0.449219,0.542969,75.2
16,141.327792,265.0000,0.496094,0.542969,78.7
17,135.770669,254.0000,0.539062,0.542969,82.3
18,135.381599,261.0000,0.484375,0.542969,85.8
19,134.577195,266.0000,0.480469,0.542969,89.4
20,133.208133,267.0000,0.531250,0.542969,93.0
21,129.484494,249.0000,0.523438,0.542969,96.3
22,128.698934,247.0000,0.523438,0.542969,99.6
23,130.327300,267.0000,0.519531,0.542969,103.0
24,129.210351,260.0000,0.496094,0.542969,106.3
25,127.995138,247.0000,0.503906,0.542969,109.6
26,127.792541,245.0000,0.523438,0.542969,113.0
27,128.802927,266.0000,0.496094,0.542969,116.3
28,128.640679,266.0000,0.468750,0.542969,119.6
29,127.001470,223.0000,0.519531,0.542969,123.0
30,128.088462,255.0000,0.527344,0.542969,126.3
31,127.667439,240.0000,0.554688,0.554688,129.6
32,127.605756,236.0000,0.527344,0.554688,132.9
33,127.630874,235.0000,0.539062,0.554688,136.2
34,128.366462,275.0000,0.488281,0.554688,139.6
35,128.356920,277.0000,0.503906,0.554688,143.0
36,127.891327,246.0000,0.441406,0.554688,146.2
37,127.804726,239.0000,0.601562,0.601562,149.6
38,127.913034,247.0000,0.531250,0.601562,152.9
39,128.321477,286.0000,0.542969,0.601562,156.2
40,128.181344,277.0000,0.468750,0.601562,159.5
41,128.014735,256.0000,0.519531,0.601562,162.8
42,127.840965,234.0000,0.515625,0.601562,166.1
43,128.057286,266.0000,0.507812,0.601562,169.4
44,127.867789,235.0000,0.503906,0.601562,172.8
45,128.029692,261.0000,0.453125,0.601562,176.1
46,128.001896,255.0000,0.531250,0.601562,179.4
47,127.982390,260.0000,0.515625,0.601562,182.7
48,127.941426,256.0000,0.527344,0.601562,186.0
49,128.032158,266.0000,0.500000,0.601562,189.3
50,128.018306,259.0000,0.496094,0.601562,192.6
51,127.928793,245.0000,0.523438,0.601562,195.9
52,127.954649,242.0000,0.582031,0.601562,199.2
53,128.009467,261.0000,0.484375,0.601562,202.5
54,128.074724,270.0000,0.492188,0.601562,205.8
55,127.972438,267.0000,0.511719,0.601562,209.1
56,128.061078,277.0000,0.523438,0.601562,212.4
57,128.006291,258.0000,0.515625,0.601562,215.6
58,128.018562,263.0000,0.546875,0.601562,218.9
59,128.001057,240.0000,0.511719,0.601562,222.1
60,127.920823,247.0000,0.554688,0.601562,225.4
61,128.018091,256.0000,0.460938,0.601562,228.7
62,127.936040,243.0000,0.523438,0.601562,231.9
63,127.952985,259.0000,0.484375,0.601562,235.2
64,128.020686,257.0000,0.414062,0.601562,238.4
65,128.086482,272.0000,0.523438,0.601562,241.7
66,127.935749,267.0000,0.511719,0.601562,245.0
67,128.036857,275.0000,0.480469,0.601562,248.3
68,128.058611,257.0000,0.492188,0.601562,251.5
69,127.959643,260.0000,0.480469,0.601562,254.8
70,128.018895,274.0000,0.515625,0.601562,258.1
71,128.021047,252.0000,0.492188,0.601562,261.4
72,127.951264,274.0000,0.441406,0.601562,264.7
73,127.995151,252.0000,0.449219,0.601562,267.9
74,127.965892,263.0000,0.464844,0.601562,271.2
75,128.036160,256.0000,0.503906,0.601562,274.5
76,127.946772,244.0000,0.507812,0.601562,277.8
77,127.980552,273.0000,0.480469,0.601562,281.0
78,128.048925,250.0000,0.550781,0.601562,284.3
79,127.864691,255.0000,0.542969,0.601562,287.6
80,127.941441,269.0000,0.445312,0.601562,290.9
81,127.908043,244.0000,0.519531,0.601562,294.2
82,128.008659,239.0000,0.500000,0.601562,297.4
83,127.951511,266.0000,0.484375,0.601562,300.7
84,127.926972,266.0000,0.531250,0.601562,304.0
85,127.833628,271.0000,0.457031,0.601562,307.2
86,128.011110,262.0000,0.488281,0.601562,310.5
87,127.781520,274.0000,0.562500,0.601562,313.8
88,127.938326,267.0000,0.476562,0.601562,317.0
89,127.878930,265.0000,0.523438,0.601562,320.3
90,128.311099,238.0000,0.464844,0.601562,323.6
91,128.116228,257.0000,0.511719,0.601562,326.9
92,127.965905,259.0000,0.503906,0.601562,330.2
93,127.954243,270.0000,0.542969,0.601562,333.5
94,127.892731,243.0000,0.468750,0.601562,336.8
95,127.788416,262.0000,0.531250,0.601562,340.0
96,127.805731,278.0000,0.476562,0.601562,343.3
97,127.753240,269.0000,0.507812,0.601562,346.6
98,127.822179,238.0000,0.503906,0.601562,349.8
99,128.048206,271.0000,0.480469,0.601562,353.1
100,127.963882,259.0000,0.519531,0.601562,356.4
101,127.808700,278.0000,0.503906,0.601562,359.6
102,127.790339,249.0000,0.542969,0.601562,362.9
103,127.769505,257.0000,0.500000,0.601562,366.2
104,127.927750,256.0000,0.503906,0.601562,369.5
105,127.703008,246.0000,0.488281,0.601562,372.8
106,127.967415,268.0000,0.460938,0.601562,376.0
107,127.895751,250.0000,0.464844,0.601562,379.3
108,128.296738,270.0000,0.507812,0.601562,382.6
109,127.873644,253.0000,0.464844,0.601562,385.9
110,128.202325,271.0000,0.437500,0.601562,389.2
111,128.073195,249.0000,0.523438,0.601562,392.4
112,128.301375,255.0000,0.476562,0.601562,395.7
113,128.190256,267.0000,0.492188,0.601562,399.0
114,127.960641,258.0000,0.523438,0.601562,402.2
115,128.038060,244.0000,0.460938,0.601562,405.5
116,127.862561,263.0000,0.488281,0.601562,408.8
117,127.764056,266.0000,0.472656,0.601562,412.1
118,127.710234,275.0000,0.539062,0.601562,415.3
119,127.929893,240.0000,0.492188,0.601562,418.6
120,127.906110,247.0000,0.515625,0.601562,421.9
121,127.615611,249.0000,0.437500,0.601562,425.2
122,127.862087,266.0000,0.531250,0.601562,428.4
123,128.098584,247.0000,0.492188,0.601562,431.7
124,128.443489,268.0000,0.468750,0.601562,435.0
125,128.055026,249.0000,0.511719,0.601562,438.2
126,128.365319,260.0000,0.480469,0.601562,441.5
127,128.116475,246.0000,0.507812,0.601562,444.8
128,127.549210,276.0000,0.511719,0.601562,448.0
129,128.253368,267.0000,0.503906,0.601562,451.3
130,127.957801,250.0000,0.488281,0.601562,454.6
131,128.241815,281.0000,0.468750,0.601562,457.9
132,128.160663,263.0000,0.535156,0.601562,461.1
133,128.050459,261.0000,0.472656,0.601562,464.4
134,128.044691,249.0000,0.484375,0.601562,467.7
135,127.574640,242.0000,0.535156,0.601562,471.0
136,127.697253,225.0000,0.527344,0.601562,474.3
137,127.960162,251.0000,0.535156,0.601562,477.6
138,128.087691,273.0000,0.503906,0.601562,480.9
139,128.168626,250.0000,0.476562,0.601562,484.1
140,128.007765,263.0000,0.523438,0.601562,487.4
141,127.943977,264.0000,0.437500,0.601562,490.7
142,128.015946,248.0000,0.480469,0.601562,494.0
143,128.083259,254.0000,0.511719,0.601562,497.3
144,127.878865,246.0000,0.519531,0.601562,500.5
145,128.027785,267.0000,0.476562,0.601562,503.8
146,127.844552,264.0000,0.468750,0.601562,507.1
147,128.023381,250.0000,0.460938,0.601562,510.4
148,128.008606,251.0000,0.496094,0.601562,513.6
149,127.827540,248.0000,0.542969,0.601562,516.9
150,128.140594,246.0000,0.523438,0.601562,520.2
151,128.053405,257.0000,0.507812,0.601562,523.5
152,127.913154,237.0000,0.500000,0.601562,526.8
153,127.926044,256.0000,0.437500,0.601562,530.1
154,127.874640,257.0000,0.527344,0.601562,533.4
155,127.835182,253.0000,0.480469,0.601562,536.6
156,127.991259,251.0000,0.484375,0.601562,539.9
157,127.794158,246.0000,0.480469,0.601562,543.2
158,127.885926,238.0000,0.519531,0.601562,546.5
159,128.019394,262.0000,0.500000,0.601562,549.7
160,127.894848,270.0000,0.511719,0.601562,553.0
161,127.821419,268.0000,0.562500,0.601562,556.3
162,127.876361,255.0000,0.523438,0.601562,559.6
163,127.928630,240.0000,0.468750,0.601562,562.9
164,127.900093,259.0000,0.507812,0.601562,566.1
165,127.900909,247.0000,0.492188,0.601562,569.4
166,127.891425,254.0000,0.511719,0.601562,572.7
167,127.834094,247.0000,0.488281,0.601562,576.0
168,127.858528,254.0000,0.511719,0.601562,579.3
169,127.809379,251.0000,0.484375,0.601562,582.5
170,127.817239,294.0000,0.507812,0.601562,585.8
171,127.833774,253.0000,0.507812,0.601562,589.1
172,127.788777,257.0000,0.554688,0.601562,592.3
173,127.854685,258.0000,0.476562,0.601562,595.6
174,127.824182,243.0000,0.542969,0.601562,598.9
175,127.781356,261.0000,0.484375,0.601562,602.2
176,127.775146,272.0000,0.480469,0.601562,605.5
177,127.766945,243.0000,0.488281,0.601562,608.8
178,127.763343,254.0000,0.464844,0.601562,612.1
179,127.727070,253.0000,0.480469,0.601562,615.4
180,127.737781,236.0000,0.523438,0.601562,618.6
181,127.709093,255.0000,0.480469,0.601562,621.9
182,127.700210,252.0000,0.492188,0.601562,625.2
183,127.700958,252.0000,0.496094,0.601562,628.5
184,127.672891,266.0000,0.445312,0.601562,631.8
185,127.652920,236.0000,0.457031,0.601562,635.0
186,127.638446,232.0000,0.488281,0.601562,638.3
187,127.623131,250.0000,0.476562,0.601562,641.6
188,127.605382,272.0000,0.531250,0.601562,644.9
189,127.590792,246.0000,0.492188,0.601562,648.1
190,127.567150,256.0000,0.488281,0.601562,651.4
191,127.553934,261.0000,0.433594,0.601562,654.7
192,127.529763,267.0000,0.492188,0.601562,658.0
193,127.499714,260.0000,0.484375,0.601562,661.3
194,127.472401,234.0000,0.527344,0.601562,664.6
195,127.461188,275.0000,0.535156,0.601562,667.9
196,127.429446,244.0000,0.519531,0.601562,671.2
197,127.411623,272.0000,0.523438,0.601562,674.5
198,127.388497,256.0000,0.535156,0.601562,677.7
199,127.339574,263.0000,0.507812,0.601562,681.0
200,127.317451,258.0000,0.500000,0.601562,684.3
201,127.277834,255.0000,0.417969,0.601562,687.6
202,127.252671,247.0000,0.527344,0.601562,690.8
203,127.195589,259.0000,0.527344,0.601562,694.1
204,127.193261,258.0000,0.468750,0.601562,697.4
205,127.098155,261.0000,0.488281,0.601562,700.7
206,127.100895,247.0000,0.480469,0.601562,704.0
207,127.008779,258.0000,0.515625,0.601562,707.3
208,127.131635,265.0000,0.574219,0.601562,710.6
209,127.046290,272.0000,0.531250,0.601562,713.9
210,126.946598,258.0000,0.476562,0.601562,717.1
211,126.866371,251.0000,0.531250,0.601562,720.4
212,126.782963,272.0000,0.503906,0.601562,723.7
213,127.037667,263.0000,0.457031,0.601562,727.0
214,126.977058,252.0000,0.488281,0.601562,730.3
215,126.877383,247.0000,0.437500,0.601562,733.5
216,126.931683,253.0000,0.507812,0.601562,736.8
217,126.736189,256.0000,0.515625,0.601562,740.1
218,126.958391,265.0000,0.472656,0.601562,743.4
219,126.865641,250.0000,0.472656,0.601562,746.7
220,126.794952,252.0000,0.527344,0.601562,750.0
221,126.744586,240.0000,0.515625,0.601562,753.3
222,126.864973,241.0000,0.503906,0.601562,756.6
223,126.726930,262.0000,0.500000,0.601562,759.9
224,126.734111,246.0000,0.488281,0.601562,763.2
225,126.695946,243.0000,0.523438,0.601562,766.4
226,126.790101,277.0000,0.484375,0.601562,769.7
227,126.647190,274.0000,0.542969,0.601562,773.0
228,126.665345,242.0000,0.511719,0.601562,776.3
229,126.655858,256.0000,0.574219,0.601562,779.6
230,126.601420,247.0000,0.562500,0.601562,782.9
231,126.501017,259.0000,0.472656,0.601562,786.2
232,126.613557,258.0000,0.558594,0.601562,789.4
233,126.509856,268.0000,0.496094,0.601562,792.7
234,126.652879,261.0000,0.488281,0.601562,796.0
235,126.569184,277.0000,0.531250,0.601562,799.3
236,126.587241,256.0000,0.453125,0.601562,802.6
237,126.480538,280.0000,0.511719,0.601562,805.9
238,126.449716,264.0000,0.500000,0.601562,809.2
239,126.389111,246.0000,0.562500,0.601562,812.5
240,126.383078,252.0000,0.464844,0.601562,815.7
241,126.389867,267.0000,0.511719,0.601562,819.0
242,126.368632,246.0000,0.468750,0.601562,822.3
243,126.403977,249.0000,0.523438,0.601562,825.6
244,126.352327,252.0000,0.535156,0.601562,828.9
245,126.278751,260.0000,0.523438,0.601562,832.2
246,126.295977,247.0000,0.527344,0.601562,835.4
247,126.327413,239.0000,0.484375,0.601562,838.7
248,126.265883,263.0000,0.500000,0.601562,842.0
249,126.206423,250.0000,0.453125,0.601562,845.3
250,126.174390,256.0000,0.488281,0.601562,848.6
251,126.210474,256.0000,0.496094,0.601562,852.0
252,126.153967,263.0000,0.500000,0.601562,855.2
253,126.154073,260.0000,0.535156,0.601562,858.5
254,126.125144,265.0000,0.507812,0.601562,861.8
255,126.112764,281.0000,0.582031,0.601562,865.1
256,126.121809,250.0000,0.453125,0.601562,868.4
257,126.079738,247.0000,0.503906,0.601562,871.7
258,126.076110,260.0000,0.488281,0.601562,875.0
259,126.059948,245.0000,0.492188,0.601562,878.3
260,126.041984,269.0000,0.476562,0.601562,881.5
261,126.015590,257.0000,0.484375,0.601562,884.8
262,125.965600,277.0000,0.507812,0.601562,888.1
263,126.015878,248.0000,0.550781,0.601562,891.4
264,125.978531,245.0000,0.527344,0.601562,894.7
265,125.963818,268.0000,0.449219,0.601562,898.0
266,125.936302,277.0000,0.527344,0.601562,901.2
267,125.960261,267.0000,0.472656,0.601562,904.5
268,125.880181,250.0000,0.492188,0.601562,907.8
269,125.907474,255.0000,0.457031,0.601562,911.1
270,125.886239,249.0000,0.480469,0.601562,914.4
271,125.867933,249.0000,0.531250,0.601562,917.7
272,125.889733,260.0000,0.511719,0.601562,920.9
273,125.831823,255.0000,0.507812,0.601562,924.2
274,125.805040,292.0000,0.515625,0.601562,927.5
275,125.781063,244.0000,0.484375,0.601562,930.8
276,125.729179,260.0000,0.480469,0.601562,934.1
277,125.752702,251.0000,0.468750,0.601562,937.4
278,125.737506,252.0000,0.511719,0.601562,940.7
279,125.740741,240.0000,0.500000,0.601562,944.0
280,125.678437,262.0000,0.507812,0.601562,947.2
281,125.630270,248.0000,0.441406,0.601562,950.5
282,125.598403,241.0000,0.515625,0.601562,953.8
283,125.554600,244.0000,0.507812,0.601562,957.0
284,125.510686,261.0000,0.511719,0.601562,960.3
285,125.532659,261.0000,0.527344,0.601562,963.6
286,125.502005,249.0000,0.507812,0.601562,966.9
287,125.463978,259.0000,0.511719,0.601562,970.1
288,125.445243,268.0000,0.539062,0.601562,973.4
289,125.453345,254.0000,0.542969,0.601562,976.7
290,125.423022,254.0000,0.515625,0.601562,980.0
291,125.412268,246.0000,0.496094,0.601562,983.3
292,125.394821,238.0000,0.488281,0.601562,986.6
293,125.343146,245.0000,0.500000,0.601562,989.8
294,125.351984,252.0000,0.507812,0.601562,993.1
295,125.286810,257.0000,0.492188,0.601562,996.4
296,125.272113,250.0000,0.519531,0.601562,999.7
297,125.223452,269.0000,0.500000,0.601562,1003.0
298,125.186003,262.0000,0.507812,0.601562,1006.3
299,125.153312,265.0000,0.484375,0.601562,1009.5
300,125.129525,268.0000,0.457031,0.601562,1012.8
301,125.176706,250.0000,0.507812,0.601562,1016.1
302,125.087820,261.0000,0.500000,0.601562,1019.4
303,125.072017,271.0000,0.472656,0.601562,1022.7
304,124.987528,272.0000,0.535156,0.601562,1026.0
305,124.980780,240.0000,0.480469,0.601562,1029.2
306,124.911153,260.0000,0.507812,0.601562,1032.5
307,124.897231,270.0000,0.511719,0.601562,1035.8
308,124.821800,254.0000,0.492188,0.601562,1039.1
309,124.764855,247.0000,0.554688,0.601562,1042.4
310,124.731765,236.0000,0.503906,0.601562,1045.7
311,124.654684,263.0000,0.523438,0.601562,1049.0
312,124.610077,239.0000,0.531250,0.601562,1052.2
313,124.532608,247.0000,0.500000,0.601562,1055.5
314,124.473953,261.0000,0.460938,0.601562,1058.8
315,124.400931,252.0000,0.515625,0.601562,1062.1
316,124.348590,240.0000,0.515625,0.601562,1065.3
317,124.284727,257.0000,0.507812,0.601562,1068.6
318,124.215409,243.0000,0.503906,0.601562,1071.9
319,124.159425,261.0000,0.511719,0.601562,1075.2
320,124.084944,254.0000,0.511719,0.601562,1078.5
321,124.023388,265.0000,0.484375,0.601562,1081.8
322,123.948225,265.0000,0.500000,0.601562,1085.1
323,123.869784,251.0000,0.507812,0.601562,1088.4
324,123.790056,251.0000,0.515625,0.601562,1091.6
325,123.700732,254.0000,0.503906,0.601562,1094.9
326,123.609629,250.0000,0.511719,0.601562,1098.2
327,123.500945,259.0000,0.507812,0.601562,1101.5
328,123.393200,252.0000,0.500000,0.601562,1104.8
329,123.273503,263.0000,0.488281,0.601562,1108.0
